내용,평점,공감수,작성일
매번 버그수정 감사드립니다. 안드로이드폰은 시청중에 화면 아래로 내리기가 안됩니다. 무조건 시청하는걸 끄고 시청목록을 봐야하는 번거로움이 있습니다.. 다시 수정좀 부탁드려요.. 오히려 아이폰은 문제없이 잘됩니다.,5.0,216,2020-5-15
로그인을꼭해야되나요?다른사람들이아이디나비닐번호를전부다모르면어떳게요.제발로그인을않해도되는것만취소해주세요(그래도생방송은좋아요근데댓글을못달아요),2.0,27,2020-6-5
판업모드를 실행하면 아주 대부분 렉걸려서 실행이 안됩니다. 좀 고쳐주세요,2.0,3,2020-6-11
업데이트를 해야하는거면 업데이트를 해야한다고 팝업이 뜨던지 ...어제까진 잘보다가 오늘와서 갑자기 영상을 눌러도 로딩중으로만뜨고... 한참 시도하다가 혹시나해서 들어왔더니..업데이트하라고 되어있고... 28일업데이트인데 29일은 잘되다가 30일은 안되는 이유는 뭔지 알수가없네여,1.0,69,2020-4-30
"개발자님대표이사님운영자님클린이티님아프리카TV앱 업데이트 내용출시입니다 한별1004님의방송국정지,보킹님의방송국정지 얼이와빵이님의방송국정지 춤추는곰돌님의방송국정지 다이아나님의방송국정지 이용약관/개인정보처리방침/본인확인서비스/아이디/비밀번호/2차비밀번호/아이핀인증/휴대폰인증/서버ip주소발급인증서키을붙었습니다 40만댓글앱평가하기을주세요 김혜림님아프리카TV축하합니다",5.0,74,2020-4-29
와이파이로 접속시에 3초후에 무한버퍼 껐다가 켜도 똑같아요 모바일앱에 신경좀 쓰시죠,1.0,8,2020-6-7
모바일로 보는데 계속 화면이 멈추네요 채팅은 올라오는데,1.0,4,2020-6-11
오늘 아이콘을 보니까 테두리에 빨간색으로 바꼈네요.흰색인데 이게 무슨 문제인가요?,3.0,9,2020-6-16
방송볼때 화면이멈춥니다  고쳐주세요 버퍼링도 있던데 저만그런가요??,3.0,124,2020-6-21
업데이트하니까 설정에서 wifi로 시청시 화질 정하는 부분에서 최고화질이 있었는데 사라졌네요,4.0,0,2020-6-20
채팅만 나오고 화면은 거멓네. 그리고 화면이 나오면 몇 분 안 되서 자기 멋대로 꺼짐. 아프리카는 업데이트할 때마다 문제생기고 영 실력 없는 사람들이 운영하나보다.,1.0,176,2020-4-29
"그냥 아프리카 모바일 신경을 안쓰시는거 같군요. 서버터져도 관리도 안되고, 방송 검은색 화면 뜨고 앱을 지웠다 다시 까니까 되고, 계속 방송 입장할때 고화질로 입장하고 최고화질로 바꾸면 버퍼링 때문에 볼 수가 없고. 요즘 폰 사용하는사람들이 많은데 이렇게 소홀하시네요 참...",1.0,108,2020-5-24
오늘 저녁부터 아프리카를 틀어보니까 서버에 접속할수 없다는 창이 뜨네요... 제 폰에 문제가 있나 싶어 전원을 다시 껏다 켜도 안되고 아프리카를 지우고 다시 깔아도 계속그러고 와이파이와 데이터에 문제도 전혀없습니다. 몇번을 그렇게 반복해도 그 창이 뜨는데 제 폰이 이상한건가요? 아니면 아프리카에 문제가 있는건가요?,1.0,54,2020-5-24
자동업데이트 이후 라이브 화면 안보임. 채팅창만 가능. 삭제후 재설치하면 화면 보임. 자동업데이트 광고 화면 재생 버그 같음.,3.0,72,2020-4-29
계속 HW 디코드 오류라고 재생이 안되네요. 해결해주세요,1.0,0,2020-6-24
방송도중 중단이되면 화면을 작게 해두면 중단이 풀렸는데도 계속 중단이되는 오류가 있었습니다(모바일 기준),4.0,1,2020-5-4
이번 패치하고나서 전체화면일때 채팅창내렸는데도 왼쪽 하단에 채팅창을 띄우는 이유는 뭔가요 불편해서 못보겠어요,1.0,1,2020-6-3
방송 화질 수동 선택에 최고화질(원본) 추가해 주세요 VOD 화질도 수동 선택 넣어 주세요 VOD 및 방송 시청 기록 안남기는 옵션 넣어주세요 시스템 다크모드 동기화 필요합니다,4.0,5,2020-4-30
갤럭시 폴드 사용자 입니다 요금제 무제한 요금제 사용하고있고요 아프리카TV접속자체가 안되는 경우가 많고요 혹은 접속을해서 시청할 방을 누르면 들어가는데민 2분씩 걸립니다 철구놈이 방송 복귀하자마자 계속 이러는데 이정도면 문제있는거 아닌가요?,1.0,67,2020-5-29
뭔 문제인지 서버에 접속할수없다고 떠서 재설치했는데도 똑같은 현상이 반복됨. 대체 무슨문제인지 하나도 모르겠음,1.0,12,2020-5-24
서버에 접속할수 없다? 어제만 하더라고 되더만 갑자기 이러네 ...,1.0,1,2020-6-17
안드로이드폰 아이폰 둘다 사용하는 유저지만 솔직히 말해서 수입이 상당하신데 그 자금을 어디다 쓰시는지는 모르나 너무 앱에 문제가 많네요 인력이 부족한건지 아니면 관리를 안하시는건지 많이 부족하군요,1.0,8,2020-5-11
가로모드 My 화면을 보면 메뉴들이랑 광고만 보이고 정작 방송리스트는 너무 작게 보이네요. 방송 하나 사이즈도 제대로 안보임,4.0,6,2020-5-17
현재 갑자기 종료되고 서버에 접속할수없다고 나오네요 심지어 지워다 다시 설치해도 똑같네요 점검하는건가요 아니면 서버에 문제가 생긴건가요?,3.0,4,2020-5-24
세로모드로 폰옆으로 눞혀서 보다가 즐찾목록으로 딴방들어가면 가로모드로 저절로바껴서 개불편.,1.0,33,2020-6-15
방송 보다가 중간중간에 계속 버퍼링걸려서 보는데 불편하네요.. 최고화질이라서 그런가 해서 고화질로도 봤는데 계속 그럽니다..,1.0,14,2020-5-22
10시 반이후부터 계속 서버 접속 실패가 뜨네요....퓨 다시 지웠다가 깔아도 계속 안들어가져요.... 해결 부탁드려요.. ,2.0,7,2020-5-24
"아프리카 웹사이트나 앱등 해외에서의 시청은 페이지로딩이안되는 등의 에러가 많이떠요 문의를 여러번해보아도, 아프리카팀은 해외쪽은 무시하는 경향이잇는듭합니다",1.0,9,2020-4-29
오늘 업뎃하고 설정에 화질선택에서 원본화질이 사라졌어요 트래픽이 몰리는걸 방지하기 위한 꼼수인가요? ...,1.0,10,2020-4-29
오늘 업데이트했는데요 비제이 라이브라는것을눌러서들어가면 아예 화면이 뜨질않아요 오류가난것같은데요 원래는잘되는데 너무오류가많이나는데요 빨리고쳐주세요,5.0,1,2020-5-25
앵간하면 관리좀 합시다....방송하면서 부적절 언어 부적적 의상 부적적 컨텐츠...거이 팟티비 수준이고만요...별풍수수료만 보지말고 미래를 내다보는 아프리카 가좀 돼시길..,1.0,4,2020-5-11
별한개도 아까움 앱 업데이트하는 들 누군진모르겠는데 와...라이브보는데10초마다 검은화면 됐다가 다시보이고 계속그러네 퉤,1.0,8,2020-4-30
무슨 계속 보호자 인증을 하고 마지막 본인인증에서 왜 정보가 일치하지 않는다고 함? 짜증나게 앱만들고 작정하고 만들었나 이거부터 고치고 만들어라,1.0,3,2020-5-12
아니 갑자기 방송에 들어가도 방송이 안켜져요.. 채팅창만 나오고 허디오 모드는 또 되고 제폰이 이상한건지....,1.0,19,2020-4-29
아니 사람 이 만든거 만냐??아니 뭔 말고안되는 소리는 하고있어 그리고 이메일이 다 맞는데 그 따구 면 로그인을 할라고해도 할수없냐 법정대리인 이메일이냐? 말이 되게 좀 살명해놔 제발 진짜 이상해,1.0,1,2020-6-2
방송갑자기팅기고 네트워크가 불안하다면서 안들어가짐 와이파이 만땅인데 삭제하고 다시 깔아도 실행이 안댐 그냥 트위치로 넘어감 ,1.0,5,2020-5-24
아니 무슨 비번이안맞데??? 또비번찾기하려면 휴대폰인증은 5번밖에못하고 욕밖에안나온다 반말안하는데 이건좀 심함 고치셈,1.0,3,2020-5-9
계속 버그가걸려요. 터치도 잘안되고 방송들어가도 그 방송이 안보이고 보이더라도 라이오전환이 안되요,1.0,2,2020-5-24
화질설정문제 바꿔주세요 자꾸 들어갈때마다 고화질로바껴져있어서 매번 화질 원본화질로 바꾸기 귀찮습니다 이 문제 수정좀해주세요,3.0,1,2020-5-14
좋은데...로그인이 넘 어려워서 못하고 보는데..  로그인 안해도 실시간 켰다구..알림좀요..;;;,3.0,1,2020-5-26
방송 종료후 화면이 자동으로 안 꺼지고 켜져있어요 수정해주세요 방종화면 계속 켜져있음,3.0,8,2020-5-13
모바일 수동화질 최고화질 왜 없앤건지.. 원래대로 해주세요,2.0,0,2020-6-19
왜 이러는지 모르겠는데 실행하면 계속 방송화질이 고화질로되있고 매번 최고화질로 바꿔줘야함,1.0,3,2020-5-4
꼴보기싫은 비제이 시청자가 직접 차단할수있게 기능 추가해주세요 다른방에서 철구업 도배하는애들 빨리빨리 잡아주기 바람,3.0,4,2020-5-27
왜 이렇게 광고가 길고 버퍼링이 심하고 계속 보는 도중에 정지가 되는걸까요?,1.0,3,2020-5-15
아니 회원가입 하는데 다 입력하고 인증하는데 다시 내정보 입력하는 창이 계속 나와요? 이거 이상한데...,2.0,2,2020-5-16
다음 업데이트때 꼭 수동화질 설정을 최고화질(원본)설정이 나왓으면 합니다.,4.0,1,2020-5-18
이번 업뎃하고 모바일데이터 사용하고 방들어가면 최고화질 기본설정 없어진건가요?  고화질이 최대네요 당연히 퀵뷰있습니다,4.0,2,2020-5-12
아프리카티비 즐겁게 잘 보고 있어요 포인트를 써서 할수 있는 다양한 혜택이 생긴다는 말을 오래전에 봤는데 혜택을 언제쯤 볼수 있을까요??,5.0,2,2020-6-13
갑자기 계정보호 하고있다고 뜨고 계정복구할려 하는데 휴대폰 인증이 안들가고 계속 아이핀으로 들가지네요 진짜 불쾌합니다 빨리 수정 부탁드립니다,1.0,0,2020-5-9
왜 핸드폰으론 회원가입이 안되나요? 마지막 문자자동입력에서 늘 틀렸다고 가입이안되는데 무엇이문제인가요?,1.0,0,2020-5-10
"또 안들어가짐,서버가 접속이 안돼요, 화면이 이상하게",1.0,3,2020-5-24
방송들어갈때 최고화질로 설정할수있게 바꿔주세요 갑자기 왜 고화질로 들어가집니까 불편하게,3.0,0,2020-5-9
서버가 터졌는지 뭔지 와이파이 연결후 10분을 기다려도 접속이 안되네요,3.0,3,2020-5-24
방송 들어가도.. 댓은 나오는데 영상이 안나와요. 평소 잘 나오다 왜이런겨...,1.0,6,2020-4-29
문의 보내드리기는 했는데 아이핀 본인확인했는데도 자꾸 이미 했다고하면서 차단되있다고 하는 오류 고쳐주세요...,3.0,0,2020-5-22
아니 왜 갑자기 고화질로 시작되냐 원래 최고화질 설정해두면 유지됐었는데 은근슬쩍 바꿔놨네 그렇게 서버비가 아까웠냐,1.0,1,2020-5-7
개그지같네 진짜  영상은 안나오고  광고는 나와? 장난하냐 개그지같은게 다있냐   싸가지없는것들,1.0,1,2020-5-15
제가 임다 좋아해서 설치 했는데 로그인이 좀 어렵네요;; 쉽게 좀 될따요?...,1.0,0,2020-5-22
아니 다른리뷰보니까 채팅만보이고 화면은 까맣게나오는거 저만 아니고만 수정좀,1.0,5,2020-4-30
보고싶지 않은 bj를 차단할수 있게해주세요. 그리고 광고가 bj들 방에 들어갈때마다 뜨는 것이 좀 거슬리네요,1.0,0,2020-6-12
장난하는것도 아니고 패치후에 랙 버퍼 현상이 심합니다 좀 조치좀 해주세요,1.0,4,2020-5-16
2020.04.29 오후 11시 45분 모바일 아프리카 tv 방송 들어가면 검은화면에 채팅만 보이는 현상 때문에 좋아하는 bj방송 보지도 못합니다. 네트워크 문제는 아닙니다. 유튜브 트위치 다 시청가능하고요 아프리카 tv만 안됩니다. 서버관리좀 제발 잘좀해주세요.,1.0,9,2020-4-29
잘만 되다가 갑자기 채팅창만 나오고 검은화면 밖에 안보임 ,1.0,1,2020-4-30
한주사이에 업댓하셨나봐요? 또 오류 생기네요. 화면이 안보입니다. 버그 잡으려고 업댓하는게 아니라 이정도면 업데이트로 버그를 넣는거 같네요,1.0,4,2020-5-1
업데이트하고나서 채팅만보이고 화면은 검은색으로보임 잘좀하자,1.0,3,2020-4-30
갑자기 방송들어가면 고화질로 설정됨 나는 최고화질 설정을하는데도 계속 바뀜,1.0,0,2020-5-1
연락처에 파일 권한 없으면 켜지지도 않네. 개인정보 유출 앱,1.0,0,2020-5-13
다른방송들어가면광고가나온데 타방송에가면광고가안나와요 그리고버퍼링걸려요,1.0,2,2020-6-17
아이디 보호는 왜 하는 건지 모르겠네 아이핀? 그걸로 풀라는데 아프리카 보겠다고 그렇게 까지 해야하나 완전 복잡하게 만들어 놨네,1.0,0,2020-6-14
업데이트이후에 앱실행할때마다 화질변경해야함 트래픽이 많아졌으면 서버를 증설해야지 화질을 낮출생각을하네,1.0,0,2020-5-7
가로 스크롤 빨리감기 너무 빨라요. 프로그레스바 보다 빠르면 어떡하오?,2.0,1,2020-5-21
중간 중간에 접속도 자주 끊기고 렉도 걸리고 에러가 자주난다 아프리카는 진짜 모바일 쪽 인력은 다 잘라야 함,1.0,2,2020-5-17
아이폰처럼 화면 껐을때 백그라운드 소리재생 좀 해주세요 제발... 부탁,3.0,0,2020-6-25
홍미노트8t 사용 중 인데 팝업 실행 후 팝업을 다시 터치하면 앱으로 돌아오지 않네요,1.0,1,2020-5-10
아프리카 접속 오류뭐에여 빨리 고쳐주세여 와이파이 잘되는데 안들어가져요 ,3.0,3,2020-5-24
풀스크린으로 보다 다른 화면 갔다오면 풀스크린 버튼이 안눌려요,1.0,1,2020-5-29
아니 무슨 와이파이고 데이터고 안가리고 생방송 최고화질 버퍼링땜에 진짜 속터져서 못보겠음,1.0,1,2020-5-20
업데이트하고선 채팅만 나오고 방송화면이 검게나옴,1.0,2,2020-4-30
화면이안보임 채팅창만보이고 우선지웟다가다시깔아보겟음,1.0,1,2020-4-30
요즘 아프리카 사람들 진짜 늘었는데 재밌는방송하는비제이들이 많아져서 돈도잘벌고 잘되었음좋겠네용  애니도 보고 게임도하고 지루하지가않아서 ,5.0,1,2020-5-1
업데이트 최고화질에서 고화질로 바꿔논거 일부러그런거티난다 qt들아 빨리 원상복구 해놔,1.0,0,2020-5-11
주소록 권한은 왜 찾음? 이러니 유튜브에 계속 밀리지,1.0,0,2020-6-8
왜 방송안들어가짐? 채팅만보이고 일좀...,1.0,1,2020-4-29
"잘터지는 데이터 쓰고있는데 아프리카 티비만 서버연결 계속 못한다하고 ,,,답답하네요",1.0,0,2020-5-24
업뎃후 채팅만보이고 화면이 안보여서 볼수가없네요,1.0,1,2020-4-29
빨리 기본화질 최고화질로 바꿔라.. 업데이트 이후로 자꾸 고화질로 된다,1.0,13,2020-5-1
맨날유튜브로만 봐서 아프리카깔았는데 14살부터라니...별로네요 지우겠습니다 나이제한을 조금만 밑으로 해주시면 5점 쌉가능인데 해주시면 감사하겠습니다 ,1.0,1,2020-5-14
에드벌륜 참여형 좀많이 생기게해주시고 실행형도있으면좋아요,5.0,0,2020-6-5
사이트에서 못보고 강제 앱설치 강요.... 메인 화면에 bj추천이나 시청자 많은 순으로 뜨는데 보기싫은 bj안보이게 하는거이으면 좋겟네 특히 세월호망치부인 추모하는걸로 보기에는 세월호 뒤에 아이디 붙이는게 보기 안좋음,1.0,2,2020-5-24
업데이트 이후로도 로딩에 많은시간이 걸리네요,3.0,540,2020-5-21
머같이 느린데 업뎃만 하면 오류 투성이 이러니 트위치에 밀리지,1.0,1,2020-4-29
이게 모바일인데 갑자기 언제부터 안들어가져서 지웠다가 다시깔아도 안들어 가지는데 어떻하죠,4.0,1,2020-5-24
뭐같네 회원가입 인증오류 이제 다른 플랫폼에 비해 떨어진다고 막 나가나? 이러니까 안되는거야  그냥 그만해라 추하다. 그리고 슬슬 성인방송을 주력으로 밀고나가는갑제?  하긴 나도 그거 보려고 앱깔고 들어오는데 그것도 다른 플랫폼에 비해 떨어지내 니네는 도대체 뭐냐?,1.0,0,2020-4-30
아니 왜 회원가입 인증할 때 정보 맞는데 정보 안맞다고 회원가입 안됨? 여기서 막혀서 회원가입 못하는중,1.0,0,2020-5-8
어플 매일 로딩 한시간이지 좀 관리좀해라,1.0,0,2020-6-25
업데이트 제발 좀 똑바로 합시다 어떻게 할때마다 오류가 생깁니까,1.0,2,2020-5-14
들어갈때 마다 고화질로 되있어서 최고화질로 바꿔야함,2.0,0,2020-5-4
갑자기 화면이 안뜨고 메인화면만 뜨네요...,2.0,0,2020-5-24
업데이트하고 방송 재생안됨  어이없네..내 구독권 내놔라 이럴거면,1.0,1,2020-4-29
왜 모든방3초보다가 버퍼먹냐 갑자기  채팅안보이고,1.0,1,2020-5-11
왜 회원가입 알맞게 했는데 가입하신 입력정보와 맞지 않다고 하고 짜증나네요,1.0,0,2020-5-12
요번에 업뎃하고 버퍼링 개심해짐 탈퇴후재가입기간은 또 뭐이렇게기냐,1.0,358,2020-5-3
최악 !!! 늘 버퍼 많고 모바일은 관리도 안함,1.0,0,2020-6-10
왜 눌렀는데 안들어가지나요 어플 잘되게 바꿔주세여,1.0,0,2020-5-24
서버관리 똑바로해서 버퍼없게해 장사 하루이틀하냐,1.0,10,2020-6-9
10시반에 갑자기 접속이안되냐 서버터진건가,1.0,2,2020-5-24
설정에서 왜 원본화질 설정이 없나요 고화질에서 매번 원본화질 변경 짜증나네요,5.0,1,2020-5-17
버퍼링 겁나 심해짐 서버 관리좀 하셈 하..,1.0,0,2020-6-20
채팅창 배경 하얀색으로 만든거 생각이 없는건가요? 눈아파죽겠네 오랜만에와서 보는데 업데이트 할때마다 개선이아니라 왜점점 개판이되는건가요? 방속목록가독성도 개고 갈수록맘에 안드네요,1.0,2,2020-5-18
좋은데 계약을 하지않아도 되요?(영상 찍는거),5.0,1,2020-6-2
초고화질 원본 왜 바로 안되냐 예전에 잘되었는데,1.0,0,2020-6-2
왜모바일로 안들어가지는가죠 이런현상이 최근발생하네요,1.0,0,2020-5-24
서버운영똑바로좀해요 계속안들어가지고 적당히해요진짜,1.0,0,2020-5-24
 비번 번호좀 찾고 싶어요.. 너무 하자나요.. 오류 오류 오류 본인인증 다했는데 웹 사이트 오류가 제 탓입니까? 그놈의 오류 오류 오류 오류 여캠들은 속옷만 입고 방송하고 티셔츠 입어도 속옷을 옷 밖으로 다시 꺼내더라구요? 그냥 팝콘 tv같은건가요? 이때 까지 제가 생각했던 아프리카tv랑은 쫌 많이 다르네요,1.0,183,2020-4-8
아프리카 어플 깔고 예전엔 빠르게 잘만 들어가졋는데요 갈수록 전보다 안좋은게 어플누르고 들어가려면 데이터가 갑자기 먹통이 되거나 응답없음뜨거나 로딩시간이 길어집니다. 엄청불편하네요.,1.0,1,2020-5-24
하 진짜 짜증나네 왜 이렇게 버퍼링 심한지 심지어 로그인하는 페이지도 엄청 느려요  아니 다른 플랫폼들은 이정도는 아닌데 발전을 원하면 업데이트를 제대로 하시던지 좀;;; 정말 불편해요;;;;; 다 느려요 전부 다 사이트 접속도 버버버버버벅 회원가입도 버버버벅 생방송 시청할 때도 버버버버벅  참나,1.0,109,2020-4-22
빨리 철구 복귀방송봐야되는데 서버터졋네여 빨리 복구좀 보고싶어미치겠어요,5.0,1,2020-5-24
아니 왜 챗팅창만 처보이고 화면은 안보임 ....,1.0,0,2020-4-30
와 최악이다 안드로이드 즐찾목록 한눈에 보이기는 커녕 드래그 내려도 방제가 글자 하나씩 보이고 심지어 세로보기에선 짤려서 뜨지도 않네. 수길이형 주식떨어지는 이유가 이런 허접한 개발자들 때문이야.. 유투브랑 너무 비교되자너,1.0,24,2020-4-19
BJ 방송알림이 안뜨네요 현재 노트 10 플러스 쓰는데.. 수정 좀 부탁드려요 맨날 놓치고 그래요...,2.0,1,2020-6-12
앱이 안열려서 지웠다 다시 깔았는데도 안열림,1.0,0,2020-5-24
버퍼링이 너무 심합니다. 몇 주 전부터 버퍼링이 너무 심합니다. 못 볼 정도로.. 갑자기 심해진거 보니까 폰 때문은 아닌거 같은데 리뷰를 보니까 다른 분들도도 저와 같은 증상을 보인다는데 빠른 해결 부탁드립니다.,1.0,110,2020-4-1
"아니 채팅을 치고싶고 버퍼링이 좀 심하네요..버퍼링 없엤으면 좋겠어요 저 비번,아이디 등등을 찾고 싶은데 왜 비번,아이디를 안알려주냐고요 이거 별 하나도 주기 싫은걸 어떻게 해야돼냐고요 그리고 광고좀 줄려주세요 자꾸 뭘 볼때마다 광고가 나와서 답답해서 이앱을 지웠습니다 이앱에 광고좀 없에주시고 그리고 버퍼링 다신 안나게 해주세요 너무 답답해요 마치 우릴 짜증나게 하는맵 같아요",1.0,28,2020-4-12
운영자 일 안함 ? 철구 볼려고 계속 기달렸는데 서버 접속이안되요  제발 빠른 해결 부탁해요 ;,1.0,0,2020-5-24
계정이 안만들어지고 비정상적으로 된다고 뜨네요... ,1.0,0,2020-5-12
이번 업데이트로 스크린미러링이 막혔네요. 덱스에서도 아프리카 안됨.,2.0,2,2020-4-29
아 구데기앱 화면안보이다 다시까니까 채팅안보이네,1.0,1,2020-4-30
업데이트하면서 왜 최고화질 기본설정 없어졋나요,1.0,0,2020-4-29
아니 14세이상인데 가입이안되요 되는가싶더니 문자인증 pass앱억지로깔아서 하기도하구요 그런데도 다했는데 자꾸 리셋되는것처럼 휴대폰인증하기부터 다시시작되고 그리고 또 계속안되니깐 하루에5회만가능합니다? 지들이 이상하게만들어놓고 5회밬에안되서 오늘도회원가입못하게됬네요 모처럼 아프리카tv깔아서 영상도보고 채팅도 쳐보고싶은데요 왜그러죠 개빡치게,1.0,14,2020-4-24
아니 4월29일 업데이트 하고나서 화면은 안보이고 채팅방만 됨,1.0,1,2020-4-29
로그인을 하면 아이디가 해당 IP는 잠금처리 되었습니다 이러고 회원가입을 하면 이미 가입된 번호라 하면 어떻게 하라는겁니까? 차라리 IP를 잠금처리한거를 풀어주십쇼,2.0,1,2020-4-17
"최적화 수준이 심각한건지 배터리도 빨리달고 매번 렉이 걸립니다. 그래도 좋아하는 BJ 볼 수 있다는 것 만으로도 만족합니다. 근데, 진짜 최적화 좀 해주세요. 배터리 다는 속도랑 메모리 사용량 보면 정말 기가 막힙니다 ",3.0,22,2020-2-7
안녕하세요 아이디 할때 칸이 부족 하군요...어렵습니다....이 댓 보시면 수정 부탁합니다 다른거 빼고는 그래픽 최고 입니다...댓글을 못 단다는게 아쉽내요...,2.0,3,2020-4-27
2020.04.29 업데이트 받은 이후 모바일에서 영상이 안틀어짐 ,1.0,4,2020-4-29
아이디&비밀번호를. 맞게 썼는데 아이디또는 비번이 틀리다고 하는데. 이거 뭔가요? 계정에 맞는 아이디 비번 썼는데 이거 어캐된거죠? 답장 주세요 로그인 비번 분명히 제 계정 아이디.비번인데. 로그인 또는 회원가입 이 안되는데. (이유를 설명 부탁드리고 (수정부탁드입니다. 오류인것같네요.),3.0,70,2020-2-13
진짜 다른거 다 좋은데 가끔 팝업플레이를 사용할때 생방송이 멈춰요.. 근데 들어가면 다시 시작되는것도 아니라 생방을 다시 나갔다 들어가야해요...,2.0,9,2020-4-11
모바일로 회원가입할라고하니까 본인인증해도 다음화면으로 안넘어가네요 ,1.0,0,2020-6-3
vod 시청 중 자동재생 기능 이용할 때 다음 재생할 영상이 아닌 이전 영상으로 재생됩니다. 예를 들어 현재 영상이 275화이고 다음에 자동 재생될 영상이 276화이어야 하는데 274화가 재생됩니다. 수정 요청합니다.,2.0,4,2020-2-3
"정말 재밌게 방송 잘 보고 있는 유저입니다 하지만 아프리카티비의 중계방이라는 시스템은 정말 이해할 수가 없어서 이렇게 리뷰에 적습니다. 우선 중계방과 본방의 개별화로 BJ는 본방의 채팅만 볼 수 있어서 채팅의 질을 조금이라도 올리려는 의도는 이해합니다만 이 장점이 단점이 되어 중계방에서 시청해야 하는 일반 선한 시청자들이 온갖 지역 차별과 도배, 그리고 성적인 발언, 시청자간의 말싸움까지 보고 있어야 한다는 것이 아프리카티비의 치명적인 단점이라고 생각합니다. 그리고 저런 좋지 않은 채팅을 쓰는 사람들이 있다면 본방에서처럼 BJ가 직...",4.0,222,2020-3-1
아이폰은 방송화면에서 아래로 내리면 바로 방송 목록 볼수잇는데 왜 안드로이드는 안되게햇나요...?이해가 안되네요,4.0,5,2020-4-9
모바일 창모드하면 예전에는 가로모드할때 크기가 제한없이 커졌는데 지금 패치후로 크기가 많이안커지네요 가로모드할때 크기가 너무 작아서 잘 안보여요.. 트위치 티비도 그런데 그거 싫어서 아프리카 티비 보는데 아프리카티비도 트위치랑 똑같이 크기 제한생겼네요 불편해여,1.0,97,2020-2-1
