내용,평점,공감수,작성일
"무과금 유저는 즐기기가 힘든게임인거 같네요.. 파티시스템도 있으나 마나 한거 같고 수동으로 먹는 체력 물약은 무슨 가격이 말도 안되게 높아서 메인퀘스트 보스 잡을때 사용하다 보면 골드는 부족하고, 전리품을 상점에다 팔면 무조건 10원 골드수급은 도대체 어떻게 해야하며 성장은 도대체 어떻게 해야하는지 답이 없어요 과금한 친구는 아주 원활하게 플레이 하더라구요 과금이 답인가요. 무과금은 2일만에 벽에 부딛혔네요. 이럴빠에 차라리 검은사막 하러 가겠습니다. 그래도 검은사막은 1주일정돈 재미를 느낀거 같습니다. 이렇게 빨리 무과금의 한계에...",1.0,243,2020-4-24
무과금이나 소액과금러는 절대하면 안되는 게임.딱 레벨70에서 아무것도 못함..퀘스트 진행안하면 하루종일 돌려도 경험치 안올라가고 쓸만한것 줍지도 못함..골드도 안모여 마석각인도 밀림..케릭이나서버 문젠가 하고 3군데서 키워봤지만 똑같음..스트레스 받지말고 다른겜 추천,1.0,92,2020-4-27
솔직히 난 과금하는거에 대해서 별로 불만없습니다 게임플레이도 만족하고 모바일주제에? 이정도면 너무 괜찮은거같아요 근데 이번 코스튬 욕해도되나요? 고르는거 없이.딱 두개있고 이거 뭐 사라는거에요 말라는거에요 전부 다 이거 입고 과티랑 뭐가달라요 똑같은거 입는데코스튬 추가 업데이트 빨리 필요할거같네요 망토 숨김기능도 만들어주세요 열받네요 걍 팬티만 입고 플레이 못하나요?,5.0,27,2020-5-26
전에도 했던 게임이었고 다시 하려고 다운받았는데...게임 실행이 안되네요...다운받는동안에도 계속 다운이 이상하게 -15.5% 이런식으로 마이너스로 계속 떠서 이상해서 계속 껐다키고 다시 받고 재부팅해서 ....우여곡절 끝에 겨우 받았더니....받고나서도 문제네요.....게임 실행하려고 들어가니...로그인화면까지도 안들어가져요.. 18세 게임 거기까지 뜨고 그후로 바로 게임이 꺼져요 그냥 .... 무슨 오류인지 확인후 수정해주세요..,1.0,35,2020-5-26
깔끔하고 예쁜 인터페이스와 그래픽이 마음에 들어요 당연 마음에 드는 곳이 있다면 마음에 들지 않는 구석도 있겠죠 개인적으로 다크체이서는 제 취향이 아니라 많이 아쉬웠고 액슬러와 같이 꼬맹이 남캐가 없던 것에 많이 아쉬움이 크네요 추후 액스러 같은 꼬맹이 남캐로 신직업이 나왔으면 좋겠어요,5.0,76,2020-6-8
리뷰남기려고 게임다운받았습니다. 제가 이게임 사용하지도않는데 11만원짜리 결제가 두번되었네요. 구글측에 의뢰를해놓은 상황이기는 하지만 당황스러워 다운받고 리뷰남깁니다. 넥슨이 한국게임이라 다행이지 사용하지도않는게임 22만원이나 날렸어요 아직 구글에서 답변이오지않아 돈은 빠져나간상태구요... 이런적은 처음이라 당황스럽고 해서 리뷰남깁니다,1.0,95,2020-5-8
게임에서 필요한건 제대로 가져다놓지도 않았으면서 캐릭끼리 정보도 못보고 상대방 전투력 렙 못보고 거래도안되고 강화 확률 적어놓지도않고 오지게안되네요  그리고 마석은92퍼에서도 잘실패하는데 확률 걍 같치레로 쳐박아두셨나요? 게임하다보면 돈 내노라는기분인데  좀 적당히 하시지 이런리뷰에는 반응도안하시나요?? 쳐읽고 개선좀 해달라는건데 네임드는 젠시간이 필드보스냐 무슨 확정보상도아닌데 젠시간이 10시간 12시간??,1.0,162,2020-6-14
무과금으로는 70까지는 키울수 있습니다.  그이후로는 지갑파워하셔야되요.,2.0,4,2020-6-24
솔직히 휴대폰 mmorpg겜 최고봉중 하나라 생각한다. 그래픽 상타치에 타격감 고 할 컨텐츠도 꽤 있으면 필드보스나 특수 네임드 쟁하는 맛이 쏠쏠하다. 한가지 문제점이 있다면 그건 사람들이다.. 정치질에 내전에 과도한 통제등 이런거 생기면 답이 없.....,4.0,28,2020-4-24
"이것은 혁명입니다 !사실 온라인 게임 (노가다,컨트롤,공략 ) 게임에 한계도 느껴서 게임 자체를 안했는데 일단 pc로 연동된다는게 최고인듯 합니다 글씨도 잘보이고 여타pc온라인게임 보다 낳은듯 합니다 그럼 수고하세요",5.0,43,2020-4-17
핸드폰 접속시 오류가 떠서 접속을 못함!!!!!!!!,1.0,1,2020-6-16
갑자기 중복 로그인 뜨면서 튕기더니 다시 접속하니까 이미 처리중인 요청중이라고 잠시후 다시 시도 하라는 알림만 계속 뜸. 지우고 다시 깔았는데도 그럼. 과금유도는 더럽게 하면서 이딴건 안고침.,1.0,7,2020-4-20
추가다운 받으래서 받는데 아니 무슨 다운로드 진행이 8.0% 까지가다가 점점 다시 내려가더니 심지어 -1.6% 가 되더니 알수없는 오류라고 뜨면서 더이상 진행이 안되네요 밑에 댓글중 하나를보고 지우고 폴더 삭제하고 다시해도 마찬가지입니다. 살다살다 다운로드진행이 -1.6%로 내려가는건 첨봅니다,1.0,39,2020-5-5
제가 진짜 리뷰 안남기는데 v4 뽑기랑 강화 확률 와 너무심합니다 현질을 해도 불만이 생길정도니... 인간적으로 확률좀 높혀줘요...,3.0,1,2020-6-19
너무 재밌게 하고 있어요 렉도 잘 걸리고 버그도 많고 그래서요,5.0,2,2020-6-16
V4 구글 연동해서 사용중이었는데 오늘 갑자기 구글연동되있던 케릭터가 찾을수없다고 나옵니다 하루아침에 이게 먼일인지 빠른시간에 복구및 확인부탁드립니다 개발자님에게 자세한 문의 보냈는데 넥슨에서는 문의를직접 올릴수없게 되있어서 내캐릭터 찾아주세요,1.0,20,2020-4-24
"저번 업뎃 때도 실행이 안 되서(알 수 없는 오류), X 폴더 지우고 재실행 했었는데, 이번 업뎃 이후에 또 그런 증상이 나타나네요? 이번엔 X 폴더를 지워도 실행이 안 되네요?? 왜 이렇게 매번 번거로운지...",5.0,30,2020-4-28
거래소에서 뭐좀 판매하려고 해서 등록하려 클릭하는데 영어로 기능활성화가 안됬다고 하는데 이거 어떻게 활성화하죠? 친구들은 18세이용가라 인증하고 다운받았다고 하던데 저는 그냥 다운받아지길래 그냥 쭈욱 해서 그런지 모르겠는데 갑자기 이러니 당황스럽네요 ,3.0,41,2020-4-28
리뷰남기려고 다운했습니다. 새벽에 33000원으로 레드젬 샀다고 날라오길래 검색해보니 이미 이게임 유명하더군요 도대체 게임 결제시스템을 어떻게만들어놨기에 뉴스에나올정도로 해킹이 심한겁니까? 게임 못만드는거야 하루이틀얘기도아니고 상식적으로 과금으로 먹고사는회사면 결제시스템은 제대로갖춰야하는거아니에요? 진짜 기분더럽네요,1.0,9,2020-5-22
정의되지 않는 오류? 이건 또 뭔가요 접속이 안되네요,1.0,1,2020-6-16
와..어쌔씬 패치후로 접속도안되고 삭제하고 다시 깔아도 마찬가지네?? 오류해결도 못하면서 업데이트 만하면 다인가??? 하지말라는거냐 아니면 계속 데이터만 날리라는거냐?? 돈만벌면되지 돈슨 은,1.0,10,2020-4-18
"전형적인 호구 양산형게임, 그저그렇다 게이머보다 비게이머를위한게임  다똑같아 왜하지이걸 키자마자실망함 자동사냥 좋다고하는게 바쁜현대인들위한거라쳐도 주말에 시간내서 직접사냥하는 게임찾는사람이 훨씬많음 왜이런게임내는지모르겠네",1.0,59,2020-6-9
아래의 댓글과 같은 문제로 X 폴더를 지운 후 다시 설치하였는데 추가설치파일 다운로드 과정에서 자꾸 에러가 발생하고 수십번 반복하여 겨우 다운받으면 로딩 화면 직전에 바로 팅겨버리는 문제가 지난 업데이트 이후 지속되고 있습니다. 플레이는 PC로만 하기 때문에 괜찮지만 결재가 불가능해서 불편하네요.,5.0,11,2020-4-20
아달리란 닉을 쓰고있는 유저입니다. 오랜만에 이런 게임을 하니 재밌고 즐거워서 시간가는줄 모르겠습니다. 하지만 투력이 너무 딸리더군요 64레벨에 8만4천인 지금 너무 힘듭니다.,5.0,5,2020-4-26
카메라 회전이 이렇게 잘못되어있는 게임은 처음이네요 빨리 개선되어야합니다. 최대한 작게 고정좀 왜 몬스터 공격만하면 화면이 커지니 그대로 고정은 안되는거니 카메라가 안움직이게 패치좀해줘라 아 졸라 짜증나네,1.0,29,2020-4-28
"스마트폰 A9 Pro 업데이트 이후 게임이 멈춰버림 게임진행이 불가능합니다 건의사항 게시판에 글을 썼지만, 피드백이 오지않음 뭐라도 좋으니 제발 답변좀 해주세요",3.0,41,2020-6-4
"소프트웨어 업데이트후 계속 멈추는데 해결해야하는거 아닙니까?오픈후 하루도 안쉬고 열렙중에,과금도 꽤했는데, 방법찾아주시죠. 오늘 업데이트되도 멈추네요.패치안해주실겁니까",1.0,4,2020-5-19
"무과금 소과금러들 특정구간에서 막힌다고 접는다고,하지말라고 평정남기는데 개소리들 집어치워라 현71레벨 블레이더 무과금으로 잘하고있다.꼴랑몇일 쳐해보고 되네 안되네 뻘소리하기전에 니쉐키들 성격 급한거부터 쳐고치고 겜시작해라 징징대지말고 운영자님 겜 잘하고있습니다.앞으로도 지금같은 운영으로 계속나가주시길...",5.0,5,2020-5-5
이딴것도 게임이라고.. 자동사냥 해놨더니 벽에 걸려서 무한 걸려있다.. 하루종이루반복되는 자동사냥.. 현질안하면 PVP 나 레이드는 참여도 못해.. 정말 양산형자동사냥 지루한 게임.,1.0,4,2020-5-20
A9 pro 유저인데요. 방금 V4 실행시켰는데 자꾸 멈추네요 ;; 아침에 안드로이드업뎃후에 이런 현상이 생긴것같은데..빠른 조치 부탁드립니다.,2.0,5,2020-5-21
안드로이드 10os로 6월10일 업데이트가 된후 게임이 1분도못하게 계속해서 멈추고있습니다..이유를 모르겠네요 게임 진행이 안됩니다.,3.0,9,2020-6-10
사전 예약했는데 보상은 왜 안해주나요 사전예약 기간에 예약했는데 영웅등급 무기가 어디로 지급이 되는건가요? 제가 못찾는 건가요? 아무리.찾아도 없는데요,1.0,2,2020-4-15
앱업데이트 이후 사냥중에 혹은 다른곳으로 이동하면 멈춥니다. 서비스센터에선 어플오류라고 합니다. 수장요청합니다. 댓글달아주세요. 기종은 G7 30버정입니다.,1.0,24,2020-6-7
접속과동시에 게임화면이 멈추는 이유 가 뭔가요??? 게임이 실행은되나 접속하면 화면이 멈춰 플레이가 안됨 해결방안좀 주세요 2주동안 하다가 어제부터 그러네요,1.0,4,2020-4-25
이번 업데이트후 재접석하니 왜 멀정히 있던 망토가 사라졌는지 궁금하네요 ? 정말 겜하기 싫어지게 만드시네요.. 빠른 조치부탁드립니다. .,1.0,7,2020-6-9
소프트웨어 업데이트후에 멈춤현상이 계속일어나네요. 갤럭시a9프로 인데 잘되다가 이래서 멈춤현상좀 잡아주세요.,1.0,0,2020-5-19
신입유저입니다 앱을 다 깔았는데 여정을 준비중입니다로 뜨면서 계속 팅기네요 캐릭을 만들지조차 못하고 있고 깔고 지우고를 반복하는데 안되서 글 남겨봅니다 어찌해야되는걸까요?,4.0,7,2020-4-19
오늘 4월28일 업데이트하고 정의할수없는 오류로 게임데이터도 다운이안되고 다운이되엇을때에는 서버점검중이라고 로그인조차 되지않습니다 지웠다 새로깔았다를 3번째하는데 전혀 진전이 없네요,1.0,2,2020-4-28
A9 Pro 인데요 1분도안되서 계속 멈춥니다. 빠른해결 부탁드립니다. 댓글보면 다들 멈춘다는데 해결좀해주세요,1.0,0,2020-6-22
"넥슨이 그동안 똥망겜(엑스,히트다 히트, 트라하)을 계속 만들었던건 v4를 위한 추진력이었다. 위 세가지 똥망 트리오 두시간 도 안하고 지워버렸는데 이번껀 이주넘게 하는중..검사랑 느낌이 비슷하면서 시스템은 리니지?",5.0,3,2020-5-8
게임설치했는데 최적화중 버퍼 100프로 다받고나서 바탕화면으로 팅겨요 폰은 노트8인데요.. 뭐가문제일까요?팅겨서 겜을 못해보고있어요,3.0,4,2020-4-17
패치할 때마다 정의되지 않은 오류 이건 머냐 섭 오픈부터 계속 해왔지만 유저 밀어내는 것도 아니고 참 . 오늘 하루종일 머하자는건지,1.0,7,2020-4-28
게임접속도 안되고 열심히키우고있었는데 언제까지 기다려야되나요. 정의되지않은오류라고 계속뜬네요.그냥게임 접을래요.,3.0,2,2020-4-19
무과금도 충분히 재미를 느낄수있는 게임이네요. 각 지형 몹의 양이 늘어나면 사람이 많아도 좀더 수월하게 사냥이 가능할거같아요. 좋은 게임 감사합니다^^,5.0,7,2020-4-28
이블린보물패키지 구매후에 패키지는 들어오지도않고 구매만 됐습니다. 확인후 조치 바라고 혹여 다른곳에 문의를해야된다면 빠른시일알려주세요.,1.0,4,2020-5-9
"온라인 게임중 젤 좋긴한데, 템 드랍이 너무 낮고, 낮아도 너무 낮음. 확률이 거의 제로에 가까움. 매일 반복되는 토벌 등을 하지 않으면 버티기 어려움.",3.0,79,2020-5-28
"이벤트로 받은 어쌔신 아스카탄 보조무기가 사라졌습니다. 창고에도 없고, 영혼석으로 교환한적도 없고, 회복사한테 가도 장비 복구에도 없습니다. 대체 어떻게 된거죠? 복구 해주실 수 있나요?",3.0,2,2020-4-23
하...다른서버에서는 60레벨되니까 거래소이용되더니 왜 호번5서버에서 꼬박 플레이해서 60레벨만들엇는데 왜 거래소에서 장비사려니까 자꾸 에러가 뜨네몃시간동안 머리를 싸매도 모르겟네요..나만 이런거임?현질까지 그래도 좀햇는데 기분상해서 게임하겟음???,3.0,7,2020-4-29
이게임해본결과로는 무과금으로 버티는데 한계가 있고 현질유도 게임인건 알겠는데 넘 과한느낌이들어요 안드로이드 10 업데이트이후 들어가는 서버가 다 끊겨요 개선바랍니다,2.0,108,2020-6-10
정말재밌게 하고있는데 얼마전에 11000원짜리 매일매일레드잼 샀습니다 기존에 가지고있던 잼상자랑 겹쳐지더니 1개만 더추가되더군요 이거 환불이나 원래받아야하는 만큼 넣어주세요 이 이아디랑 연동되어있습니다,5.0,14,2020-6-2
게임관리진 일안하는게임 유저계정 그냥정지시키고 정지이유도 말안해주는 쓰레기게임 문의남겨봐야 돌아오는건 그저 똑같은 오토대답뿐인 쓰레기 운영관리 넷마블 A3  진짜임,1.0,2,2020-6-22
화려한 배경 멋진 몹 예쁜 캐릭 루즈감 없는 빠른 레벨링 피시와의 연동 대만족입니다만  자동로그인에 익숙해지다보니 재설치후 아이디 잊어버렸는데 찾을수가없어요 러블리숙이 아이디좀 찾아주세요 ,5.0,0,2020-5-12
다른거 다 실행 되는데 v4만 안됨. 설치할때도 마이너스 표시줄 뜨고 다 깔아도  들어가면 다시 홈화면으로 나오고,1.0,6,2020-6-10
"정의되지 않은 오류, 업뎃 할때마다 항상 오류가 생기고 어디서 오류가 나는지도 몰라 수정도 못 하는것 같네요..",1.0,2,2020-4-29
재밌다 pc 게임의장점 모바일 게임의 장점을 모아놨는데 아쉬운건 서버 100등정도 까지만 챙겨주고 나머지 유저는 뭐 그냥 관심이없나보다 ,5.0,6,2020-6-16
"신서버 오픈 영웅급 장비 준다는 말은 낚시 였나; 그래픽은 좋은데, 장비 안 주니간. 별 하나.",1.0,1,2020-4-14
홍미노트9s 6GB 한국판 쓰는데 게임이 멈추고 한참후에 풀렸다가 다시 멈추고를 반복하네요 그래픽 최저로 해봐도 마찬가지. 최적화좀 해주세요,1.0,6,2020-6-4
배경음악 렉이 많이 걸리며 필드 대비 방어와 공격력이 약해 금방 지치게 만들며 현질을 유도하게 하내요,3.0,1,2020-4-29
매번 새로운 업데이트와 신경써주셔서 감사합니다. 위치이동을 찍었을때 가끔씩 같은곳을 반복움직이는 오류가있는데 수정부탁드립니다.,5.0,7,2020-5-3
55000원 결제해서 2000레드 잼을 구매했는데 돈은 빠져나가고 왜 게임에서는 아무것도 처리가 안된거죠? 이거 처리좀 해주세요,1.0,3,2020-5-3
다운 접속 안됨...지우고 다시깔고 재 다운 해도 안됨 아예 접속불과 수요일에 한번식 서버 점검후....다운로드 불과 재설치 재 다운 아예 안됨 이유가 뭔가요 ;;,2.0,1,2020-4-14
과금도 나름 어느정도하고 겜즐기던 유저입니다 느닷없이 어제 이용정지1년 먹기전까진 말이죠 아무설명없이 그냥 겜중 팅기더니 이용제한조치되었으니 고객센터에 문의하라는글만뜨더군요 문의했으나 하루넘게 답변이없습니다 운영정책을 위반한 비정상적인 게임이용내역이 있어서 제한되었다는데 잼을 결제외 구매한적도 판매한적도없고 매크로나 불법프로그램 사용해본적도 없는데 대체 무슨 사유로 주말내내 겜도 못하게 정지를시킨건지 답답해서 뒈져버리겠군요 아이디가 영어라는 이유로 작업장캐릭과 싸잡아서 정지먹인건아닌지 심히 궁금하네요 치밀어오르는 화를 당췌 감당할수...,1.0,0,2020-4-25
생산 능력치 올려주길래 현질러들 따라 잡아볼라고 미친척 해보고 계속 해봤는데  개헬입니다 난이도 조정 심각하게 필요합니다 사냥만 하라고 하는것도 아니고 진지하게 생산 난이도 조절 필요할거 같습니3,1.0,0,2020-5-14
아니 지금 오늘 긴급점검 이후로 초 단위로 멈춰스 자사를 못돌려요 이거 빨리 해결 좀 해주세요 휴대폰 문제인가 싶어서 지금 서비스센터도 다녀왔는데 휴대폰 문제가아니라 게임앱 문제라고 하네요,1.0,57,2020-5-27
탈것과 소환수를 그렇게 뽑기를 시도했는데 어떻게 희귀를 뽑을수가없네 해도해도 게 임너무하네... 갈수록 실망하는게임..,1.0,4,2020-4-28
운영정책 위반으로 계정이 정지 됐다는데 왜 그런건가요 배터리 충전중에 이게 떳는데요,4.0,1,2020-4-17
무과금으로 재미나게 잘하고 있는데 화면이 갑자기 좌우로 안움직여요 위아래로는 움직이는데. 그래서 겜할맛안나서 지웠습니다,4.0,4,2020-4-21
일단 최적화가 잘되있네요 다른기기는 어떤지 모르지만 화면 꽉차게 몰입감도좋고 액션 좋고!,4.0,4,2020-4-16
미래를위한계획 퀘스트때 자꾸 접속이끊어집니다  계속 그러니 짜증이나네요 머때문에 접속이끊어지나요 답변좀,4.0,3,2020-4-20
2시43분58초 경에 55000원 이블린패키지 구매했지만 패키지는 들어오지않고 돈만 빠져나갔습니다. 확인후 조치부탁드립니다.,3.0,1,2020-5-9
게임 설치 후 최초 업데이트 하고있는데 정의되지 않은 오류라고 자꾸 업데이트가 안되는데 뭔가여? 정의좀 해놔주세요,4.0,2,2020-4-16
게임 재밌는데 업데이트가 100% 다 됬는데 열기 버튼이 안생김 취소했다가 해도 이럼 너무 짜증..,5.0,0,2020-5-26
갤럭시탭s4에서 화질이 너무깨져요 기계가썩은건지 게임그래픽개선이안된건지 뭐가문제인가요,5.0,4,2020-6-8
"그래픽 고사양, 뽑기 거지같은거 빼고는 재밌음",4.0,1,2020-6-17
수많은 모바일 게임을 해봤지만 점점 나아지는 컨텐츠와 운영관리 게임의재미 여러부분을 종합한결과 저에게는 현재 TOP 입니다.,5.0,26,2020-5-28
갤럭시탭s6 lite lte 실행이 안되는데 할수있는 방법이 없을까요? (패치중에는 알어없는 오류로 몇번 튕겼습니다),2.0,2,2020-5-10
5월26일 점검/업데이트 후 접속후 10초쯤 지나면 계속 팅기고 있습니다 왜이런지 모르겠네요,3.0,37,2020-5-26
아이템 드랍율 혁득율 극악인 게임 현질도 한두푼으로 어림 없는게임. 무과금 유저는 그냥 즐기기만 해야함. 아이템 욕심 버려야 됨.,3.0,45,2020-5-26
"아니 기본유저들접속하는데 아무리자동사냥한다지만 작업장하는사람들은 처내셔야하는거 아닙니까? 대기시간 장난아니네요관리좀해주이소 넥슨님들아 맨날헛소리하면서 그놈에최선은 그만이야기하시고요,",1.0,1,2020-5-18
G7+인데 중간에 그냥 뭠쳐요 이것좀 업데이트 해줘봐요 움직이지도 않고 껏다가 몇번씩 그러네,1.0,0,2020-6-24
업뎃할때마다 계속팅겨서 삭제하고 재설치하고 몇시간씩잡아쳐먹고 겜내오류는 계속 늘어나고 유저 피빨아먹는겜같으니,1.0,11,2020-5-27
게임 설치도 안되있는데 이 게임에서 20만원 결제됨 ^^ 이게 무슨 일임 ?? 찾아보니까 사례도 많던데 관리 안 하고 뭐함 ?? 내 돈 내놔 샤키들아,1.0,4,2020-6-4
저는 나름대로 잘 하고있습니다  의외로 과금투자를 하지않아도 재미있네요. 살짝루즈한 느낌이 있지만 패치를 통해 개선하면 된다고 생각합니다 ,4.0,34,2020-5-29
다운로드해서 캐릭터 결정하고 닉네임 쓰면 중복되는 아이디라고 떠서 다른 이름을 써도 계속 중복아이디라고만 뜨고 안되네요 ,1.0,2,2020-4-17
몇일째 스팸까지 확인하였습니다 오류가 생긴거 같네요 어디서 오류생겼는지 알수가없네요....,4.0,3,2020-4-16
구글 미승인결제 해도 넥슨 새키들은 나몰라라 환불안해줌 그래서 구글에 문의넣어서 환불받음 카악퉤 넥슨 벌래새끼들 다 디져버렷 니들이 안주고 뻐겨봐야 구글 형들이 해줌 ,1.0,4,2020-5-30
입고있던 방어구가 사라졌어요액슬러로 하고있는데 사냥중에 사망했더니 입고있던 방어구가 사라졌어요빠른답변부탁드립니다,1.0,0,2020-4-25
게임 들어가자마자 멈추고 드가기전에 튕기는데 해결법좀 알려주세요 운영자님,5.0,0,2020-6-6
갤럭시 s20 울트라는 첫 화면에서 계속 팅겨서 접속이 안됩니다 조치바래요 ,1.0,0,2020-4-23
점검하고나서부터 지금까지 중간중간 멈춤현상때문에 게임을 5분조차 못했어요 멈추는현상 진짜 심각하니까 빨리 피드백받고 고쳐요,1.0,26,2020-5-29
이른아침 v4에서 638만원이 결제가 됐네요 깐적도없고 이런겜 알지도 못하고 고객센터는 전화도 안되고 메일도 제대로 된 답변이 안오네요 그냥 자동 답장만오네요 관리가 이러면... 빠른 답변바랍니다,1.0,0,2020-5-14
재미있게 잘하고있는데...루나트라를 무법지대 없애주면안됩니까? Pvp하고싶은 사람만 하게 따로 채널을 만들어주세요 자동사냥 돌리면 맨날 pvp당해서 죽어있고 스트레스받아서 못해먹겠네요 pvp채널 따로 만들고 나머지는 좀...무법지대 없애주세요 투력낮은 사람은 맨날 빡쳐있고..조만간 접게 생겼네요 아니면 투력제한 채널을 만들어도 괜찮을거같기도하고 답글은 기대잘 안해요 리류보면 내용은 다 틀려도 답글은 똑같으니...그냥 하소연하는겁니다 성의있는 답변 주시면 감사요 아니면 1:1 문의를 해야하나 그냥 접으라는 생각밖에 안듬요,4.0,0,2020-5-2
현질유도가 너무심한듯하네요..일반유저들 즐길수있는 콘텐츠유도가 필요한듯 하네요^^,4.0,1,2020-4-29
무과금 안됨니다 현질안하면 진행 불가 pvp불가 네임드 사냥 힘듬 젠시간 언제인지도 모르겠다 템 강화 힘듬,1.0,2,2020-6-16
게임 실행이 안 돼요 로딩 창 켜지다가 바로 꺼집니다 /이제 너무 잘 돼,5.0,1,2020-6-16
업데이트 후 게임 서버접속 화면이 뜨기전에 꺼짐 폰 기종 s10e 오류 해경 부탁,1.0,3,2020-5-26
업데이트후 정의할수없는오류로 게임이안됩니다 밑에해결책보구 x지우고 다시깔아도 계속뜨네요,2.0,1,2020-4-28
과금을 안하면 많이 떨어짐;;; 장비가 딸리게 되고...그러다보니 점점 흥미가 떨어짐,3.0,16,2020-5-26
별다른 재미라고는 느끼기 힘들고 네임드 레이드 이동시 이동시간도 너무 길어서 지침,1.0,0,2020-5-7
