내용,평점,공감수,작성일
서번트 모으는 맛에 한다. 다만 지속적 용량추가는 정도것 좀. 기본적으로 가차운이 좋으면 즐거운 게임. 참고로 본 유저는 가차운이 진짜 좋은 편임(호부로 멀린 나오고 단차로 광왕 나옴. 현재 보유중인 4-5성만 중복제외 70-80 명임. 현질x. 무과금유저임),5.0,2,2020-4-28
방금 6시 35분경에 업데이트 하셨던거 같은데 오류가 발생한거 같습니다. 서번트가 착용하고 있는 개념예장이 보이지가 않습니다. 기종은 갤럭시 노트8 입니다. 빠른 조치 부탁드립니다.,5.0,0,2020-5-28
재미있기는 하지만 가챠확률이 너무 낮습니다. 제발 가챠 확률 좀 올려주세요. 그리고 가챠만 아니면 모든 면에서 재미있습니다.,4.0,0,2020-6-17
계속 게임을 킬때마다 업데이트해야한다고 665.05MB를 다운받으라고 합니다. 다운받고 게임하다가 껐다가 다시 키면은 또다시 다운받으라합니다. 좀 고쳐주십시오.,5.0,0,2020-5-12
전부터 갑자기 계정연동이 안 되어 있어서 계속 의심하다가 삭제하고 다시 깔았는데도 계속 계정연동에 실패했습니다라고만 뜨네요 무슨 문제인가요?,4.0,5,2020-6-13
와이파이 연결 잘 되있는데 왜 연결이 안된다 뜨나요? 많은 분들이 똑같은 현상을 겪고 계시는거 같은데... 하루 빨리 수정좀 해주시죠 (폰 기종은 겔럭시 진2 입니다),1.0,1,2020-5-26
모에화된영웅들을내소유로가질수있다는게아무래도큰메리트이죠! UI가 고전적이라고 살짝 실망할수도있겠지만 적응하기나름이고 스토리나 캐릭터업데이트는 정말 계속하게만드는비결입니다,5.0,0,2020-5-27
평소 재미있게 하지만 와이파이 같은게 모두 정상인데 오늘 잠깐 삭제했다가 다시 설치했더니 인증정보 뭐라 뜨면서 게임실행이 안되네요,4.0,0,2020-6-16
정말 재미있게 하던 게임였는데 용량 또는 시간 문제상 삭제를 하고 안하고 있었는데 계정이 갑자기 사라져 버렸어요...전 지우지도 않았는데 이거 어떻게 해결좀 해주실수없나요..?,2.0,0,2020-5-26
사탕50개로 5성 못뽑아서 징징거릴거면 안하는게 맞음. 이 게임은 단기간에 엄청난 화력을 뽑아내려고 하는 게임이 아니라 조금씩 필요한 서번트를 수집하면서 15성 서번트를 적절하게 운영하는 게임이다. - 지가는 공없찐-,5.0,12,2020-5-30
아포크리파 이벤트 돌려고 오랜만에 들아왔는데 다른 이벤트는 잘만 돌아가다가 이번 이벤트는 들어가는곳에서 부터 막히네요 오류 수정좀 해주세요 . 폰기종은 q9 입니다.,3.0,1,2020-4-29
A80 서버접속불가 오류 수정 언제쯤 됩니까 저 이외에 여러 사용자들도 와이파이 신호가 멀쩡함에도 불구하고 서버접속불가 오류가 발생하는데 패치를 3번 진행할 동안 고쳐지지않네요,1.0,6,2020-4-28
게임 정말 즐겁고 재밌어요! 다만 서번트 소환에 사용되는 성정석 개수 조금만 줄여주시면 감사하겠습니다,5.0,0,2020-6-25
다좋은데 소개 이미지좀 업데이트 하세요.. 몇년전 이미지 아직까지도 쓰고있네 저것만보면 이겜 겁나 재미없어 보임 홍보할줄을 모르네 디렉터 누구임?,4.0,2,2020-5-8
많은 게임들을 해봤는데 제일 괜찮은게 페그오네요 왜냐 하면 심심 할때 하거나 다양한 스토리와 이벤트도 재미있고 제일 괜찮은 게임 이네요 이제 플레이 한지 200일 달성 했네요 힘내세요,5.0,0,2020-5-21
하.. 일그오 계정 두개 생겼다 성정석이랑 호부 많은걸로 마지막으로 한국 페그오 돌려봤는데 역시나다.... 넷마블은 들어라 한국 페그오는 들어라 내가2년가까이 페그오만 했는데 한국 페그오는 너무 양심이 없다 넷마블은 한국 페그오 54성 확률을 높여주고 성정석쫌 푸짐하게 쏴라 그러면 유저수는50만이 아닌500만 이 될겄이다 내말들어라 나는 언제나 페이트그랜드 오더를 믿고있다,1.0,11,2020-5-6
"이 디지털노벨(턴제RPG게임이 포함되 있음)은 공명 외 멀,스,타(멀린 스카디 타마모마에)만 있으면 80%는 수월하게 갈수 있다. -중과금 흑우 올림 -",5.0,3,2020-5-28
45성 안나온다고 징징거리는 분들을 위해 6장 부터 실수로 모든 서번트 삭제하고 다시 모은적 있었는데 13성 서번트로만 깬적 있습니다 45성 서번트가 필수가 아니라는 말입니다 물론 2부가 되면 필요하지만 그렇게 많이 그리고 오래 할거면 가챠를 300번 넘게 할건 당연하기 때문에 안나올수가 없어요,3.0,65,2020-5-28
게임은 재미있는데 자꾸 서버와의 연결이 끊어졌습니다 라고 떠요 와이파이는 잘 되는데 (20/4/6잘된다),4.0,1,2020-5-28
"가챠 확률 양호. 대충 시작한지 30일 되면 5성 2개 정도 얻음. 육성이 졸라 귀찮음. 4성, 3성도 쓸만함. 아스톨포 짱이다.",5.0,0,2020-5-16
잔느 얼터 버서커 얻으려고 했다가 스토리로 얻는 캐릭이 얻기 힘들다는거 알고 접었는데 5성 캐릭 준다길래 다시 시작하려고 하는데 선택권이 아닌 뽑기권인거 같아서 다시 접어야 할판,1.0,5,2020-4-30
재밌습니다 근데 한가지 오타가있는거같아요 다른분들은 모르겠지만 저한태는 쿠로(클로에)보구 단일 적인데 대인보구라 적혀있어요,5.0,0,2020-6-20
스토리도 정말 흥미롭게 진행되는데 일괄다운로드 했는데도 어째서 스토리 보이스 가 안나오는 건지 한 번 점검 좀 해주세요.,5.0,0,2020-5-28
이겜하면서 제발 확률 불만좀 하지말자 이거 일본겜이고 넷마블은 그냥 번역만하고있을 뿐이다 여기서 따져도 의미없고 일본쪽에 따져도 의미없으니 불만있으면 그냥 삭재해라,3.0,5,2020-5-28
5성이 없더라도 게임 가능하게 캐릭터 잘 뽑았지만.......캐릭을 너무 잘뽑아서 우리칼데아에 안데려오면 죽을것같은애들이.. 너무 많은게 단점....,5.0,5,2020-4-28
현질없이 5성캐릭터 얻기 매우 힘듦. 10회연속 뽑기 해도 안뜰때가 많음. 가챠 확률 최악. 진정한 흑우들을 위한 게임.,1.0,2,2020-5-12
캐릭터들도 예쁘고 애니메이션 효과도 좋아요.인연이 차곡차곡 올라가는게 RPG게임같아서 더 좋아요,5.0,0,2020-4-30
무현질 도전갑니다! 더 좋은 시스템과 스토리밸런스 많이 집중해주세요,5.0,0,2020-5-24
마테리얼같은곳에서 New표시 이미 봤던거면 안뜨게 해주면 좋겠어요 폰바꾸거나 계정변경하다 다시돌아오면 New표시가 떠서 일일히 확인하기 귀찮아요,4.0,0,2020-6-7
이벤트할때 대장급을 1시간동안 반복했는데 주는 포인트가 고작 십만 정말 대단하네요,3.0,1,2020-6-2
왜 인증정보를 확인할 수 없음이라고만 뜨는데 오류 수정 언제쯤 할련지 정말 궁금하네요.,1.0,1,2020-5-17
정말 좋지만 한국형 영웅이 없다는게 좀 많이 아쉽네요  언제쯤 추가 될까요???,4.0,0,2020-6-13
정말 좋습니다 하지만 세이버 광팬으로서 세이버가 잘 않나오는거에 대해서 슬프네요 조금만 올려주시면 안될까요?,4.0,0,2020-5-6
뽑기 확률은 안좋지만 너무 재밌네요. 그래서 별5갸 드립니닷!!,5.0,0,2020-6-13
캐릭터 모으는 쏠쏠한 재미로 돌리고 있습니다 빨리 일궈처럼 핀 모션 개편되면 좋겠네요,5.0,0,2020-6-2
A80네트워크 오류는 언제 해결해 주실건가요. 1달째 출석만하고 끄고있는데 콜라보이벤트가 너무하고 싶다고요.,1.0,15,2020-4-29
아하... 1년의 절반을 모은 성장석에서 4성 서번트가 안나오는 게임이있다? 해명해라 넷마블!! 옆집 7대죄는 잘뜨는데!!,3.0,0,2020-6-10
사카모토 료마 -> 오키타 소지얼터 인연대사가 뜨질 않습니다! 이 부분 확인 부탁드립니다! (오키타 소지얼터 ->  몇몇 인연대사도 안 나오고 있어요.....),4.0,3,2020-6-12
아직까지는 재미있게 즐기고있습니다 5성도 생각보다 잘뜨고 스토리도 재미있네요,5.0,0,2020-5-26
진짜 가챠운이 레알 헬긴한데 애정캐 한번 뽑으면 진짜 미친듯이 하게되는 게임입니다.. 난 추천..,5.0,0,2020-5-16
폰 바꾸고 게임 실행하니 처움부터시작해서 구글플레이에계정연동 시도했는데 실패떠서 안돼요,1.0,0,2020-6-21
재미는 있는데... 마스터도 직접 싸워줬으면 좋겠어요... 넷마블님 부탁드립니다... 제발 마스터도 싸웠으면 좋겠어요 사랑합니다...!,3.0,0,2020-5-16
폰 바꿨더니 계정 날라갔어용...결제한적도 있었는데 복구 가능할까요?,5.0,0,2020-4-29
"무과금인 제가 이제 950일을 향해 가고 있습니다 그간 늘어난 5성도 많은데, 올해는 뭔가 운이 없네요  자꾸 폭사하고... 그래도 열심히 할테니까 앞으로도 5성 많이 뽑을 수 있게 해주세요 ",5.0,171,2020-5-11
캐릭터때문에 하는 게임 모든 것이 다른 게임만 못하지만 캐릭은 잘뽑음,5.0,0,2020-4-28
나갔다 다시들어갔는데 계정이 삭제되어있네요 이게임하지 마세요 그리고 넷마블묻어서 안하는거 추천합니다,1.0,0,2020-6-26
"천장이 없다, 예장 서번트 소환이 분리되어있지않다=흑우오덕들 돈을 빨아먹겠다",1.0,2,2020-5-28
게임은 좋은데 운영이 아쉽습니다 소통이 너무 안돼요,4.0,0,2020-5-28
아포크리파 이벤트에 들어가려고 하는데 누르기만하면 작동이 되지 않습니다 이유를 알려주세요,3.0,0,2020-4-29
플레이도중 중간에 공격하면 무한로딩이 됩니다. 어떻게 하면 됩니까?,2.0,0,2020-5-28
팬심으로 한다면 아주 추천드리지만 그저 재미로한다면 가챠랑 스토리 5장정도 부터 막막하니 생각을 해보셔야합니다,4.0,0,2020-4-28
오랜만에 들어가보니 서번트 다 사라져 있는데 복구 가능한가요?,2.0,0,2020-5-3
"플레이한지 1년다되가는 유저입니다. 지금까지 우연히걸린 잔느와 스타팅 캐릭터(알트리아 릴리, 마슈), 배포캐, 접속보상4성(가끔마다 이벤트로 4성선택권을 줌)가지고 스토리밀고있습니다. 스토리만 미실생각이시면 무과금으로도 충분히 살아남으실 수 있습니다. 근데 애정캐를 뽑으려고하면 현질이 필요한겜이죠. 나름 스토리도 좋고. 결론: 애캐뽑을 생각없고 그냥 스토리만 밀고싶으면 충분히 무과금으로도 살 수 있는겜 P.s 저도 무과금 흑잔 150돌써서 독사일예(3턴동안 아츠카드 성능up)풀돌밖에 못찍음(4성 서번 한개도 안나오고 그나마 거기서 ...",5.0,25,2020-4-21
"가챠는 당연히 실패하고 겜하다가 튕기고, 업뎃하면 팅기는 갓겜",1.0,1,2020-4-28
갤럭시 A80 유저입니다. 폰 업데이트 이후로 와이파이 상태는 좋은데 서버에 연결되지 않는다는 일이 많이 발생합니다. 다른 앱 사용시에는 아무 문제 없는 와이파이인데 페그오 할때만 문제가 있다고 합니다. 너무 불편해요. 빠른 확인 부탁드립니다...,5.0,34,2020-4-7
"일그오만 해도 1800돌계가 1500원임  한그오는 단가가 좀더 나가긴할텐데, 본인 운빨안믿으면 한그오 공or멀 + 길가(등) 계가 2만원이면 삼  2만원 현질해서 도박할 생각을 하지말고 2만원으로 계정을 사라",5.0,0,2020-5-28
다른 캐릭터 장사 게임들과 판도 노선이 다른 게임이지만 한 번 빠진 유저들의 충성도가 매우 높아 이들을 대상으로 익랄한 확률의 캐릭터 장사로 생존하고 있습니다. 과금을 하실 생각이라면 신중하게 하시는 것을 추천드립니다.,4.0,17,2020-4-1
스토리가 좋고 유저간 경쟁요소가 없어 스트레스 없는게 큰 장점,5.0,0,2020-5-1
오늘 게임시작하는데 인증이 되지않았서 게임을 시작 할수 없어요.....,5.0,0,2020-5-27
"곧1700시간에 과금30개정돈가 딱한번 했던 사람으로서 리뷰함 일단 밸런스는 생각보다 할만하게 잡혀있음 멀공만 제외하면 스테노같은 경우 빼면 밸런스가 크게 튀는 경우가 없음,가챠로 뽑은 유닛의 가치가 떨어지는 경우는 없는거 같음. 5장부터 난이도가 오른건 맞지만 그것도 보스전에 상성만 맞춰서 가면 5성없이도 깰만함 정 안되면 프렌드나 영주3회쓰면됨 네로제 초고난도 같이 아예 고인 경우 노린경우 아니면 왠만해선 영주3회 쓰면 못깰난이도는 없다고 봄 스토리는 초반에 좀 아닌거 같긴 한데 나중갈수록 꽤 볼만함. 멀공빼면 인권얘기 안나옴 ...",5.0,14,2020-4-7
정말 가챠는 운빨이다. 부캐는 5성이 줄줄나오는데 본계는 한달에 1장꼴로밖에 안나온다.그래도 재밌고 이벤트들이 좀만더 빨리 열렸으면 좋겠다.,5.0,0,2020-5-28
"갓겜. 그래픽, 스토리, 일러, 이벤트 모두 마음에 듭니다. 가챠확률만 조금 높았으면...0.1은 너무한 +가챠확률 이제 보니 적절한 것같네요 리뷰답변도 친절하시고..별5개론 부족해... 별 더 주고싶은 게임!!",5.0,7,2020-4-28
페그오 덕후 아닌사람 입장에서는 그냥 캐릭터성 좋은 반복 노가다게임,3.0,0,2020-6-23
애정겜이라는걸 감안하더라도 스토리 진행이 2년이나 느린건 좀 걸린다... 그리고 이벤트는 기간 때문에 어쩔수없다는건 알고 있으나 편의성 업데이트나 11연차 같은 시스템은 먼저 있어도 된다고 생각함.,4.0,6,2020-4-7
1.5부 2장 나왔을 때 삭제하고 최근에 다시 설치를 했는데 계정 연동이 되지 않더라고요. 제가 그 계정에 결제를 적지않게 했어서 그런데 되돌릴 수 있는 방법이 없을까요.,2.0,0,2020-4-18
캐릭터가 개성있지만 전투가 재미없고 연출이 질린다. 달빠아니면 절대 추천하지 않지만 달빠들은 재밌게 플레이 할수 있다.,3.0,1,2020-4-20
게임은 재미가 있다. 하지만 극악같은 가챠 확률 때문에 재미가 반감이 된다. 그리고 다른 나라와의 운영도 조금 다른것도 원인이다. 다른나라는 넷마블보다 성정석을 더 많이준다. (예를들면 미국서버 등) 넷마블도 성정석을 조금 더 주었으면 좋겠다.,4.0,77,2020-2-22
원하는 서번트를 얻기 위해 가챠(게임)를 하는 것도 그렇지만 개인적으로 주목적이 스토리 읽으려고 그러는 거라서. 딱히 큰 불만은 없고 재미있게 플레이 하고 있습니다. 바라는 것이 있다면 빠른 다음장 업데이트 군요. 그리고....성정석이라던가 호부라던가 더 많이 준다거나?,5.0,12,2020-3-8
세시키를 못뽑아서 2월에 접었는데 페그오 패러디 읽고 돌아와버렸습니다,4.0,0,2020-6-15
오늘 업데이트하고 상태가 안좋습니다. 이벤트페이지는 한번 로딩 걸리면 업뎃 전이랑 비교해서 열배 넘게 걸리는거같고 칼데아게이트는 1맵 클리어하면 2맵으로 넘어가기 전 검은 화면에서 소리만 들리고 정지. 지웠다가 다시 까니 업데이트 0.1퍼에 5분 10분 걸리네요..,3.0,29,2020-1-22
다시 리뷰남깁니다. 즐겁게 플레이하고있어요,5.0,18,2020-5-16
뉴비들 참고 보통게임들은 재료가없어서 강화나 레벨업을 잘 못하는데 이게임은 재료랑 게임머니가 동시에 항상부족함 그렇다고 가챠가 혜자인것도 아님 캐릭터레벨업과 강화에 돈이 그리들지 않음 하지만 스킬레벨업 몇번에 돈과 재료가 순식간에 사라짐 캐릭터 만렙찍고 거기서 더 레벨업 시키려고 주는 성배 한번에 돈이 순식간에 증발함 성배는 챕터를깨면 주는 보상인데 그 보상을 쓸려면 막대한 돈이 필요함 Qp(돈) 을 얻는 던전이 있지만 수확이 높을수도 낮을수도 있는 확률 그래봤자 티끌모아 태산 qp던은 Ap까지 소모해 많이 못함 Qp를 추가적으로 ...,3.0,7,2020-2-2
드디어 계정연동에 문제가 있던게 해결되었네요! 계정 사라지는줄알고 걱정했었는데 수정해주셔서 감사합니다드디어 2부라니 기대되네요!,5.0,15,2020-4-1
저또한 a80기종 인데 업데이트이후 와이파이가 아무리 잘떠도 접속불가화면이 뜹니다 데이터로만 접속하려니 불편하네요...,5.0,2,2020-4-25
안녕하세요페이트유저입니다.제가게임을할때마다.서버가불안정하다고게임을못합니다.빨리고쳐주세요.별점5점이되기위해노력해주시길바람미다.,3.0,0,2020-4-25
처음에는 좋았다...내가 좋아하는 캐릭으로 무쌍찍을 수 있었으니...하지만 금새 가챠에 대해서 알게 되고 성정석이 유료랑 무료가 구분되어 있는걸 보고 손절하려는걸 참고 절약하며 모은 무료 성정석120개를 갈아 넣어도 안나오던 슈텐도지가 호부1장에서 나오는걸 보고 눈물을 흘리고...그래도 1년동안 열심히 존버 탄 끝에 무과금으로 5성3개 4성 5개 성공했다 그래서 이제 이걸로 스토리 도는데 5장부터 난이도가 수직상승하여서 프랜드에게 의존할 수 밖에 없는 자신이 한심하여 평소의 2배로 종화돌리고..그걸로 렙업 시키고 영기재림 시키려니 ...,3.0,49,2020-3-22
정말 재미있게 플레이하고 있습니다 다만 이제 몇몇 서번트들의 모션이 개편되었는데 일본판에는 반영이 되었는데 여기에도 좀 반영이 되었으면 좋겠습니다,5.0,1,2020-4-24
개 꿀젬이긴 한데 일그오 보단 로딩이 김 수정 부탁드려요,4.0,1,2020-5-5
잘 되던 게임이 최근 몇달간 서버 접속이 안된다고 뜹니다. 다시 설치하니까 두번만에 되 기는 한데 원래 애초에 이런게 뜨면 안되는거 아닌가요? 다른 게임은 잘만 돌아가는데.. 넷마블 서버운영 제대로 하고 있는거 맞나요?,2.0,8,2020-3-10
꿀잼임애정갖고 해보셈.피규어수집좋아하는사람들은 인생겜가능,5.0,0,2020-5-28
다 마음에 드는데.. 이 게임이 버는 돈에 비해서 퀄리티가 너무 저조한거 같다.. 중요한 이벤트 애니메이션까지는 못해도 컷씬 하나 정도는 넣어야하지 않나? 춤추는데 어이가 없더라,2.0,7,2020-2-10
기존에 fate 시리즈를 알지 못하는 사람에게는 조금 복잡하고 어렵지 않나 생각됩니다. 단어와 스토리가 탄탄하고 좋은 것과 접하기 쉬운 것하고 차이가 있는 것 처럼요 ^^ 그래도 재밌게 잘하고 있어요,4.0,1,2020-3-10
재미있게 잘 하고있습니다 근데 스토리 진행하면서 중간중간 문법에 맞지않는 오타가 생각보다 자주 보여요 번역할때 신경좀 써주세요,4.0,0,2020-4-6
스토리가 진짜 재밌고 친구 서번트 쓰는 시스템 있어서 막히는 부분 없이 쭉쭉 깰 수 있어서 좋다. 그리고 마슈 귀여웡,5.0,0,2020-4-15
프리퀘스트에 종화나 QP 좀 많이 나왔으면 좋겠다... 칼데아 게이트에서 계속 똑같은 퀘스트 무한 반복하는 거 너무 지루하다... 다양한 맵에서 종화나 QP를 모을 수 있으면 훨씬 질리지 않고 즐길 수 있을 것 같다.,3.0,0,2020-3-5
받은 카드를 퀘스트를 통해 운용하면서 소속 키드가 성장할 줄 알았는데.. 그 기대를 부셔버리는군요. 오로지 다른 사람의 서번트에 기생해서 키우고 성장카드로만 성장 시킬 수 있는.. 스토리 지루한 게임에 놀랐습니다!,3.0,0,2020-2-8
배틀에서 스킬 버튼이 안 눌러져서 일단 종료하고 다시 켜서 배틀 이으려고 했더니만 로딩화면에서 계속 안 넘어갑니다. 퇴각하면 Ap 돌려주면 모를까 그것도 아닌데 좀 신경 써주세요(?) 퀘 할 때 Ap 많이 먹잖아요...,3.0,3,2020-2-19
한국 페그오는 본서버인 일본서버에서 업데이트 내용을 그대로 가져와서 운영하는 게임입니다 본섭인 일본도 없는기능(자동전투 등)좀 바라지 마세요 본섭에 추가되지 않는이상 절대로 한국서버에 생길일 없습니다 버그는 좀 많다고 생각합니다 신경좀 써주세요,5.0,24,2020-3-19
전형적인 일러수집류 게임 무과금으로 대부분 플레이는 가능하지만 그만큼 시간을 소모하고 스텟이 있어서 하루에 할수있는 행동이 제한적 돈을 꼽는만큼 강해질수 있지만 뽑기운이 심함,4.0,1,2020-3-11
잼있는데 소환확율이 모든걸 씹어먹는 게임이다 소환확율 좀 올려라......0.055%면 그냥 지르지 말라는 소리다 성정석 지를려다가 확률보고 다시생각해보고 이건 아니다 싶다 진짜 흑우라도 0.055퍼센트에는 안지른다 수집형 게임을 이렇게 극악에 확율로 하는게 말이냐 글이냐 심이어 콜라보도 0.7퍼다... 다른데는 10연 3번이면 나오는걸 지금 10연 무료성정석으로 5번째인데 개념5성만 3장이다 서번트 소환율도 이렇게 해주면 안돼냐 돈벌어야지 내가 좋아하는 게임인데...,2.0,34,2020-3-5
오늘 잘못눌러 구글연결 해제 돼서 다시 구글연동 할려고 똑같은 구글아이디 인데 무슨 데이터가 있다고 하고 결국 계정 사라져서 문의 했는데 무슨 구글 아이디가 다르다는 말밖에 안하고 그래서 내가 1렙짜리 튜토리얼 깨고 구글 해제하고 똑같은 구글계정해도 데이터가 있다고 뜨네? 장난하는것도 아니고 진짜 화나고 어이가 없네 그리고 제일 어이가 없는거는 전화로 문의 해도 같은말 구글 아이디가 달라서 그럽니다 장난하는것도 아니고 이렇게 키운것도 날라가고 유저 대응도 나쁘고,1.0,7,2020-1-27
아 안심하세요 당신은 띵작 다운로드페이지에 들어온게아니라 유명한 시뮬레이션의 외전(가챠포함) 다운로드 페이지에 들어온것입니다.,3.0,0,2020-4-1
가챠돌리는게 가장 재밌습나다! 저는 이게임 추천합니다!,5.0,0,2020-5-28
겜은 재밌는데 업데이트 하나만 해주셨으면 좋겠습니다. 일섭 세이버 연출강화패치가 최근에 했다는데 한국서버도 빨리 했으면 좋겠습니다. 이벤트도 아니고 연출 바뀐거를 2년이나 기다리기엔 힘들것같습니다.,5.0,0,2020-2-19
페그오 너무 재밌게 잘하고있어요 근데 이번에 복각한 공의경계 이벤트에서 분명 조건을 다 채웠는데도 챌린지 퀘스트가 안뜨네요.. 이 부분 수정해주세요.,4.0,0,2020-3-3
가챠는 창렬하기 그지 없음. 근데 후배가 귀여움. 게임의 재미? 걍 그저 그럼. 더 재밌는 것들 많음. 후배가 귀여움. 스토리? 괜찮음. 후배가 귀여움. 후배가 귀여움. 후배가 귀여움. 후배가 귀여움. 후배가 귀여움. 후배가 귀여움. 후배가 귀여움. 후배가 귀여움.,4.0,1,2020-4-3
날이갈수록 확률 더 조작해싸서 이제 못하겠다.,1.0,1,2020-5-24
게임을 즐기다가 실수로 계정 연동을 안해서 쓰고 있던계정을 잃어 버렸는대 ID도 모르고 숫자도 모르겠습니다.. 어떻게 복구시킬 방법이 없을까요..?,5.0,0,2020-3-4
희한하게 5성 뜨면 하게되는 이상한 겜 Galaxy A80기종 최신 업데이트에서 지속적으로 서버연결이 끊기는 오류가 있습니다. 수정가능하다면 감사하겠습니다.,5.0,8,2020-3-21
"역대 최악의 업데이트. 심각한 렉이 지속적으로 발생하며, 캐시클리어시에도 다운로드가 진행되지 않음. 게임 진행이 사실상 불가합니다.",1.0,5,2020-1-23
아... 계정연동 잘못해서 날라갔는데 복구하려면 어떻게 해요?? 아  아이디도 안찍어놨는데,3.0,0,2020-4-1
얘들아 도망가 내가 이 게임을 오픈때부터 하고 있지만 진짜 지옥게임이야. 끊을 수 없는게 미치겠다. 한번 눈 딱감고 6장까지만 클리어하면 이제 못 벗어나 도망가.,5.0,3,2020-3-12
